Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference,Category
07/12/2023,TM *TICKETMASTERUK      LONDON,58.69,,TM *TICKETMASTERUK      LONDON,4 PENTONVILLE ROAD,LONDON,N1 9HF,UNITED KINGDOM OF GB AND NI,'AT233420071000010042656',General Purchases-Mail Order
06/12/2023,APPLE.COM/BILL          HOLLYHILL,6.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233410086000010023201',General Purchases-Computer Supplies
06/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.80,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233410052000010342496',Travel-Other Travel
05/12/2023,SPORTAS LIMITED         LONDON,12.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT233390048000010279768',Entertainment-Sports Events
05/12/2023,SPORTAS LIMITED         LONDON,12.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT233390048000010279769',Entertainment-Sports Events
05/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233400052000010355312',Travel-Other Travel
03/12/2023,PAYMENT RECEIVED - THANK YOU,-4310.46,,PAYMENT RECEIVED - THANK YOU,,,,,'10000000011129999896260',
03/12/2023,PAYPAL *METAPLATFOR     6505434800,0.01,,PAYPAL *METAPLATFOR     6505434800,"""4 GRAND CANAL SQUARE, GRA""
6505434800",,2,IRELAND,'AT233380052000010307158',General Purchases-General Retail
02/12/2023,APPLE.COM/BILL          HOLLYHILL,8.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233370075000010024579',General Purchases-Computer Supplies
02/12/2023,BOLT                    LONDON,28.70,,BOLT                    LONDON,STUDIO 4 114 POWER ROAD,LONDON,W4 5PY,UNITED KINGDOM OF GB AND NI,'AT233360042000010353749',Miscellaneous-Other
02/12/2023,DELIVEROO,-5.00,DeliverooGoldBenefit,DELIVEROO,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233370040000010402608',Entertainment-Restaurants
02/12/2023,DELIVEROO,-5.00,DeliverooGoldBenefit,DELIVEROO,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233370040000010403292',Entertainment-Restaurants
02/12/2023,TAVERNA TRASTREVE       LONDON,48.94,,TAVERNA TRASTREVE       LONDON,112 ST JOHNS HILL,LONDON,SW11 1SJ,UNITED KINGDOM OF GB AND NI,'AT233370040000010424438',Entertainment-Restaurants
02/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233370040000010417387',Travel-Other Travel
02/12/2023,The Breakfast Club Hoxt London,63.56,,The Breakfast Club Hoxt London,2-4 RUFUS STREET HOXTON,LONDON,N1 6PE,UNITED KINGDOM OF GB AND NI,'AT233360042000010368215',Miscellaneous-Other
02/12/2023,WINTER WONDERLAND WINTE LONDON,6.00,,WINTER WONDERLAND WINTE LONDON,HYDE PARK,LONDON,W2 2UH,UNITED KINGDOM OF GB AND NI,'AT233390048000010339076',Miscellaneous-Other
02/12/2023,WINTER WONDERLAND WINTE LONDON,10.00,,WINTER WONDERLAND WINTE LONDON,HYDE PARK,LONDON,W2 2UH,UNITED KINGDOM OF GB AND NI,'AT233390048000010339078',Miscellaneous-Other
02/12/2023,WINTER WONDERLAND WINTE LONDON,10.00,,WINTER WONDERLAND WINTE LONDON,HYDE PARK,LONDON,W2 2UH,UNITED KINGDOM OF GB AND NI,'AT233390048000010339080',Miscellaneous-Other
02/12/2023,WINTER WONDERLAND WINTE LONDON,10.00,,WINTER WONDERLAND WINTE LONDON,HYDE PARK,LONDON,W2 2UH,UNITED KINGDOM OF GB AND NI,'AT233390048000010339081',Miscellaneous-Other
02/12/2023,WINTER WONDERLAND WINTE LONDON,14.00,,WINTER WONDERLAND WINTE LONDON,HYDE PARK,LONDON,W2 2UH,UNITED KINGDOM OF GB AND NI,'AT233390048000010339077',Miscellaneous-Other
02/12/2023,WINTER WONDERLAND WINTE LONDON,20.00,,WINTER WONDERLAND WINTE LONDON,HYDE PARK,LONDON,W2 2UH,UNITED KINGDOM OF GB AND NI,'AT233390048000010339079',Miscellaneous-Other
01/12/2023,APPLE.COM/BILL          HOLLYHILL,9.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233360076000010023933',General Purchases-Computer Supplies
01/12/2023,DELIVEROO               LONDON,62.59,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233350085000010026428',Entertainment-Restaurants
01/12/2023,DELIVEROO PLUS - UK     LONDON,7.99,,DELIVEROO PLUS - UK     LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233350048000010386151',Entertainment-Restaurants
01/12/2023,NETFLIX.COM             SAO PAULO,13.55,"Foreign Spend Amount: 81,70 BRAZILIAN REAL Commission Amount: 0.39 Currency Exchange Rate: 6.2082",NETFLIX.COM             SAO PAULO,"""AV BERNARDINO DE CAMPOS,98""
SAO PAULO",,04004040,BRAZIL,'AT233350048000010382517',Communications-Internet Communication
01/12/2023,OCADO                   HATFIELD,83.19,,OCADO                   HATFIELD,"TITAN COURT
3 BISHOPS SQUARE BUSINESS PARK",HATFIELD,AL10 9NE,UNITED KINGDOM OF GB AND NI,'AT233350085000010028349',General Purchases-Groceries
01/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.55,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233360042000010374081',Travel-Other Travel
01/12/2023,UBER TRIP               HTTPS://HELP.UB,14.91,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT233360042000010336193',Miscellaneous-Other
30/11/2023,DELIVEROO               LONDON,5.28,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233350048000010382159',Entertainment-Restaurants
